model_name,colsample_bytree,learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,train_accuracy,train_roc_auc,train_precision_1,train_recall_1,train_f1_1,val_accuracy,val_roc_auc,val_precision_1_at_0.5,val_recall_1_at_0.5,val_f1_1_at_0.5,best_threshold,val_precision_1,val_recall_1,val_f1_1
xgboost_model_319,0.8,0.05,7,900,10,0.8,0.9427491300674467,0.9883471393243447,0.5211578482689033,0.9535017883927541,0.6739520469743925,0.9235164394546913,0.9539080234792738,0.43617021276595747,0.7948303715670436,0.5632512879221523,0.79,0.6352874859075536,0.6068928379106086,0.6207656293032222
xgboost_model_327,0.8,0.05,8,700,10,0.8,0.9467372159294316,0.9901151699639662,0.5398649526035579,0.9593861774547133,0.6909302422202833,0.9250200481154771,0.9538299462089812,0.44148775325068035,0.786214324178783,0.5654531371030209,0.77,0.6260917030567685,0.6176628971459343,0.6218487394957983
xgboost_model_300,0.8,0.05,5,1100,15,0.8,0.9029183910185729,0.9775113425679804,0.385250516044286,0.9475020191531095,0.5477770736750825,0.8937115744453354,0.95382353888508,0.3540564373897707,0.8648357565966612,0.5024245268262162,0.83,0.5963796477495108,0.6564351103931072,0.6249679569341194
xgboost_model_284,0.8,0.03,8,900,15,0.8,0.9222430655993584,0.9868449532491937,0.4422925109204779,0.9696550132687204,0.6074887957206881,0.9057404437316225,0.9537883177872282,0.3820939334637965,0.8411416262789445,0.5254835996635828,0.82,0.6086054950751685,0.6322024771136241,0.6201796090861067
xgboost_model_288,0.8,0.03,8,1100,15,0.8,0.9306130339524293,0.989788590043404,0.47144450641383157,0.9753086419753086,0.6356355979997744,0.9112870890136328,0.953518682634255,0.39732372619660317,0.8314485729671514,0.5376980672122584,0.8,0.5974219137332673,0.6488960689283791,0.6220960247805886
xgboost_model_334,0.8,0.05,8,1100,5,0.8,0.9777898701187118,0.995755956582594,0.7550178718724223,0.9505019037729318,0.841556849524977,0.9465383587276129,0.9531560453666923,0.5562363238512035,0.6844372644049542,0.613713182037663,0.64,0.6414228341939185,0.6020463112547119,0.6211111111111111
xgboost_model_304,0.8,0.05,6,700,15,0.8,0.9038133833574384,0.978291414527236,0.3875654512005283,0.9479635398638514,0.5501908524743856,0.8934442662389736,0.9530789560520311,0.35291519434628976,0.8605277329025309,0.5005481597494127,0.83,0.593103448275862,0.6483575659666129,0.6195009004373553
xgboost_model_323,0.8,0.05,7,1100,10,0.8,0.949644151046067,0.9910371377250664,0.5543073650624833,0.9621553017191646,0.7033866138079372,0.9268243785084203,0.9530610865244444,0.44859524544612533,0.782444803446419,0.5702511773940345,0.74,0.604251012145749,0.6429725363489499,0.6230106965823115
xgboost_model_331,0.8,0.05,8,900,10,0.8,0.9563458536794925,0.9933819393393281,0.5901627841706427,0.9704626745125188,0.7339761769710721,0.9294306335204491,0.9527488541776912,0.45885769603097776,0.7657512116316639,0.5738498789346247,0.75,0.6197107659346546,0.6230479267635972,0.621374865735768
xgboost_model_308,0.8,0.05,6,900,15,0.8,0.9123623501782825,0.9819962985527446,0.41149368342828835,0.958347755855544,0.5757659780951061,0.8985231221598503,0.9526268560449083,0.3635522664199815,0.8465266558966075,0.5086555573531791,0.83,0.6004077471967381,0.6343564889606893,0.6169154228855721
xgboost_model_328,0.8,0.05,8,700,15,0.8,0.9334340498045337,0.9902970558718235,0.4820492363802143,0.9760009230414215,0.6453557123784093,0.9116880513231757,0.9522488143429365,0.39733542319749215,0.8190630048465266,0.5350923482849604,0.83,0.6265998887033946,0.6063543349488422,0.6163108921729611
