model_name,threshold,val_roc_auc,val_accuracy,val_precision_1,val_recall_1,val_f1_1
xgboost_model_277,0.32,0.9558810667933398,0.9539561614541566,0.6280064136825227,0.6327409800753904,0.6303648068669528
xgboost_model_77,0.32,0.9558810667933398,0.9539561614541566,0.6280064136825227,0.6327409800753904,0.6303648068669528
xgboost_model_281,0.35,0.9557857050953974,0.955660251269714,0.6530023094688222,0.6090468497576736,0.6302591251044859
xgboost_model_273,0.26,0.9562108521382056,0.9505145682972467,0.5875232774674115,0.6795907377490576,0.6302122347066167
xgboost_model_153,0.27,0.9558447714136361,0.9507818765036087,0.590310442144873,0.6758212170166936,0.6301782575947779
xgboost_model_273,0.29,0.9562108521382056,0.9523857257417803,0.6082164328657315,0.6537425955842757,0.6301583181936153
xgboost_model_137,0.29,0.9558721560090522,0.9521852445870088,0.6058648111332008,0.6564351103931072,0.6301369863013698
xgboost_model_285,0.36,0.9557868273362604,0.9560612135792569,0.6595995288574794,0.6031233171782445,0.630098452883263
xgboost_model_277,0.27,0.9558810667933398,0.9509489441325849,0.5921364282330649,0.6731287022078621,0.6300403225806451
xgboost_model_77,0.27,0.9558810667933398,0.9509489441325849,0.5921364282330649,0.6731287022078621,0.6300403225806451
xgboost_model_281,0.26,0.9557857050953974,0.950547981823042,0.5879608026131591,0.678513731825525,0.63
xgboost_model_329,0.38,0.9552148489846513,0.956629243517776,0.6692913385826772,0.5950457727517501,0.6299885974914481
xgboost_model_333,0.36,0.954658428536287,0.9559609730018711,0.6580645161290323,0.6042003231017771,0.6299831555306008
xgboost_model_285,0.26,0.9557868273362604,0.9506816359262229,0.5893946503988737,0.6763597199784599,0.629889669007021
xgboost_model_273,0.37,0.9562108521382056,0.9565624164661856,0.6682779456193354,0.5955842757135165,0.6298405466970387
xgboost_model_149,0.3,0.9555064589565727,0.9525527933707565,0.6104092976250631,0.650511577813678,0.629822732012513
xgboost_model_137,0.3,0.9558721560090522,0.9527866880513232,0.613265306122449,0.6472805600430802,0.6298139900445376
xgboost_model_285,0.38,0.9557868273362604,0.9569299652499331,0.6748768472906403,0.5901992460958535,0.6297041080149383
xgboost_model_273,0.3,0.9562108521382056,0.9529537556802994,0.6154241645244216,0.6445880452342488,0.6296685954760652
xgboost_model_149,0.31,0.9555064589565727,0.9531876503608661,0.618380062305296,0.6413570274636511,0.6296590007930214
xgboost_model_261,0.29,0.9560419500924333,0.9520850040096231,0.6049627791563276,0.6564351103931072,0.6296487603305785
xgboost_model_277,0.31,0.9558810667933398,0.9532544774124566,0.6192708333333333,0.6402800215401184,0.6296002118083135
xgboost_model_77,0.31,0.9558810667933398,0.9532544774124566,0.6192708333333333,0.6402800215401184,0.6296002118083135
xgboost_model_73,0.29,0.9557303028456173,0.9521518310612136,0.6057740169238427,0.6553581044695745,0.6295913088463528
xgboost_model_309,0.33,0.9556797252723674,0.9541900561347233,0.6317787418655098,0.6273559504577275,0.6295595784922994
xgboost_model_333,0.23,0.954658428536287,0.9497460572039561,0.5801180208806174,0.6882067851373183,0.6295566502463055
xgboost_model_149,0.29,0.9555064589565727,0.9519847634322374,0.6038575667655787,0.6575121163166397,0.6295436968290796
xgboost_model_317,0.34,0.9556577216780122,0.954824913124833,0.6409826912339475,0.6182014001077006,0.6293859649122807
xgboost_model_317,0.36,0.9556577216780122,0.9557270783213044,0.6548311990686845,0.6058158319870759,0.6293706293706294
xgboost_model_149,0.28,0.9555064589565727,0.9513499064421278,0.5968131337518107,0.6655896607431341,0.6293279022403259
xgboost_model_73,0.3,0.9557303028456173,0.9527198609997327,0.6127551020408163,0.6467420570813139,0.6292900183390097
xgboost_model_333,0.22,0.954658428536287,0.9490109596364609,0.5732625055334218,0.6973613354873451,0.6292517006802721
xgboost_model_269,0.27,0.9561776357270233,0.9507818765036087,0.5907372400756143,0.6731287022078621,0.6292474200855777
